Date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA200,RSI,MACD,MACD_Signal,ROC,ATR,BB_Width,Vol_MA,Vol_Ratio,Return_1D,Return_5D,Return_10D,Target
2025-08-14,989.0,998.0,985.6,995.55,17511716,0.0005,0.0113,0.0849,51.0175,0.0007,0.0028,-1.3428,0.0122,0.0388,15401752.8,1.137,0.0055,-0.0022,-0.0134,1
2025-08-18,1005.0,1013.3,997.8,1001.8,19284796,0.0061,0.017,0.0907,54.2625,0.0012,0.0025,-0.4274,0.0126,0.0326,15559520.3,1.2394,0.0063,0.015,-0.0043,0
2025-08-19,999.15,1003.05,993.35,995.55,12352438,-0.0001,0.0102,0.083,50.6489,0.0011,0.0022,-0.0452,0.0123,0.0329,15061688.3,0.8201,-0.0062,-0.0023,-0.0005,0
2025-08-20,993.5,996.0,989.5,994.1,9950228,-0.0014,0.0084,0.0806,49.82,0.0009,0.002,0.536,0.0122,0.0333,14817359.0,0.6715,-0.0015,0.0093,0.0054,1
2025-08-21,998.75,998.75,991.6,995.6,12439850,0.0001,0.0095,0.0813,50.7186,0.0008,0.0017,0.2972,0.0119,0.0318,14757605.7,0.8429,0.0015,0.0055,0.003,0
2025-08-22,994.95,998.0,978.55,982.3,19833502,-0.0121,-0.0038,0.0662,43.3129,-0.0003,0.0014,-1.5436,0.0128,0.0348,14793922.0,1.3407,-0.0134,-0.0133,-0.0154,0
2025-08-25,980.1,988.7,978.5,982.05,17518044,-0.0111,-0.0039,0.0652,43.1852,-0.0012,0.0008,-0.4965,0.0124,0.0371,15204494.3,1.1522,-0.0003,-0.0197,-0.005,0
2025-08-26,979.5,985.7,968.0,973.4,16917731,-0.018,-0.0122,0.0552,38.9122,-0.0026,0.0002,-2.4454,0.0128,0.042,15447401.85,1.0952,-0.0088,-0.0222,-0.0245,0
2025-08-28,967.0,972.2,955.0,957.8,25438255,-0.0306,-0.0269,0.0379,32.6397,-0.0051,-0.0009,-2.7565,0.0137,0.052,15724529.8,1.6177,-0.016,-0.0365,-0.0276,0
2025-08-29,954.0,963.3,950.1,951.6,14823813,-0.0335,-0.032,0.0309,30.5331,-0.0074,-0.0022,-3.8933,0.0138,0.0607,15708018.65,0.9437,-0.0065,-0.0442,-0.0389,0
2025-09-01,949.6,957.45,946.35,950.6,20178344,-0.0313,-0.0317,0.0295,30.1946,-0.0093,-0.0036,-4.5151,0.0137,0.0673,15607784.25,1.2928,-0.0011,-0.0323,-0.0452,0
2025-09-02,951.0,954.8,944.0,944.5,14196320,-0.0341,-0.0365,0.0226,28.1449,-0.0112,-0.0052,-5.7197,0.0137,0.0752,15751737.35,0.9013,-0.0064,-0.0382,-0.0572,1
2025-09-03,945.0,956.3,940.0,954.45,16083481,-0.0217,-0.0254,0.0331,35.8004,-0.0116,-0.0064,-4.1284,0.0137,0.0779,15859214.1,1.0141,0.0105,-0.0195,-0.0413,1
2025-09-04,960.2,965.7,956.25,961.25,17597657,-0.0133,-0.0177,0.04,40.4685,-0.0112,-0.0073,-3.3045,0.0135,0.079,15540194.05,1.1324,0.0071,0.0036,-0.033,1
2025-09-05,967.5,967.5,954.05,963.4,11602111,-0.0101,-0.0149,0.0419,41.9068,-0.0106,-0.008,-3.2342,0.0136,0.0791,15416289.4,0.7526,0.0022,0.0124,-0.0323,1
2025-09-08,969.0,973.15,960.45,966.0,11711307,-0.0067,-0.0118,0.0442,43.6789,-0.0098,-0.0083,-1.6594,0.0132,0.0772,15347795.45,0.7631,0.0027,0.0162,-0.0166,0
2025-09-09,974.0,974.4,962.7,965.15,13985539,-0.0069,-0.0122,0.0429,43.2148,-0.0092,-0.0085,-1.7209,0.0133,0.0772,15352309.2,0.911,-0.0009,0.0219,-0.0172,1
2025-09-10,973.9,973.9,961.7,965.9,18091100,-0.0055,-0.011,0.0432,43.7824,-0.0085,-0.0085,-0.7705,0.0137,0.0744,15801571.5,1.1449,0.0008,0.012,-0.0077,1
2025-09-11,960.3,969.25,959.9,967.8,15113633,-0.0032,-0.0087,0.0448,45.2748,-0.0077,-0.0083,1.0441,0.0139,0.0736,15910363.05,0.9499,0.002,0.0068,0.0104,0
2025-09-12,969.9,970.75,962.25,967.3,14363519,-0.0034,-0.0088,0.0438,44.9367,-0.007,-0.0081,1.6499,0.0131,0.0719,15949669.2,0.9006,-0.0005,0.004,0.0165,0
2025-09-15,969.6,972.35,965.0,967.05,14486377,-0.0033,-0.0087,0.0431,44.7568,-0.0065,-0.0077,1.7305,0.0129,0.0682,15798402.25,0.917,-0.0003,0.0011,0.0173,0
2025-09-16,961.2,969.35,961.2,966.85,18661794,-0.0032,-0.0086,0.0424,44.6029,-0.006,-0.0074,2.3663,0.0121,0.0609,15767252.15,1.1836,-0.0002,0.0018,0.0237,0
2025-09-17,965.15,974.4,964.35,966.5,17361476,-0.0032,-0.0086,0.0416,44.3157,-0.0055,-0.007,1.2625,0.0115,0.055,16017704.05,1.0839,-0.0004,0.0006,0.0126,1
2025-09-18,973.3,979.65,969.25,976.9,17791598,0.0068,0.002,0.0523,53.8282,-0.0042,-0.0064,1.6281,0.0114,0.049,16409772.55,1.0842,0.0108,0.0094,0.0163,0
